"sample_id","side_or_trapnum","watershed","date","dipteran_large","terrestrial_large","caddisfly_large","mayfly_large","stonefly_large","other_large","dipteran_small","terrestrial_small","caddisfly_small","other_small"
NA,"8",1,2018-07-09,2,NA,NA,NA,NA,4,22,2,NA,11
NA,"9",1,2018-07-09,NA,NA,NA,NA,NA,2,20,4,NA,16
NA,"1",1,2018-07-16,6,NA,NA,NA,NA,3,17,3,NA,7
NA,"10",1,2018-07-16,NA,NA,NA,NA,NA,1,10,NA,NA,2
NA,"2",1,2018-07-16,NA,NA,NA,NA,NA,1,6,4,NA,8
NA,"3",1,2018-07-16,3,NA,NA,NA,NA,3,11,1,NA,13
NA,"4",1,2018-07-16,4,1,NA,NA,NA,7,14,2,NA,14
NA,"5",1,2018-07-16,3,1,NA,NA,NA,5,13,3,NA,23
NA,"6",1,2018-07-16,3,1,NA,NA,NA,12,29,3,NA,21
NA,"7",1,2018-07-16,NA,NA,NA,NA,NA,NA,14,2,NA,7
NA,"8",1,2018-07-16,1,NA,NA,NA,NA,1,10,2,NA,4
NA,"9",1,2018-07-16,1,2,NA,NA,NA,3,25,7,NA,22
NA,"1",1,2018-07-23,2,1,NA,NA,NA,4,13,NA,NA,22
NA,"10",1,2018-07-23,1,1,NA,NA,NA,1,23,2,NA,3
NA,"2",1,2018-07-23,2,NA,NA,NA,NA,1,10,NA,NA,6
NA,"3",1,2018-07-23,1,1,NA,NA,NA,NA,14,NA,NA,8
NA,"4",1,2018-07-23,4,2,NA,NA,NA,NA,11,NA,NA,2
NA,"5",1,2018-07-23,1,NA,NA,NA,NA,NA,1,NA,NA,4
NA,"6",1,2018-07-23,2,NA,NA,NA,NA,NA,4,NA,NA,7
NA,"7",1,2018-07-23,NA,NA,NA,NA,NA,2,4,2,NA,8
NA,"8",1,2018-07-23,3,NA,NA,NA,1,3,15,2,NA,12
NA,"9",1,2018-07-23,2,2,NA,NA,NA,3,16,4,NA,6
NA,"1",1,2018-07-30,3,NA,NA,NA,NA,1,10,1,NA,2
NA,"10",1,2018-07-30,1,NA,NA,NA,NA,NA,10,5,NA,5
NA,"2",1,2018-07-30,1,NA,NA,NA,NA,2,9,1,NA,5
NA,"3",1,2018-07-30,1,NA,NA,NA,NA,7,21,3,NA,5
NA,"4",1,2018-07-30,1,NA,NA,NA,NA,1,8,1,NA,3
NA,"5",1,2018-07-30,2,NA,NA,NA,NA,2,10,2,NA,3
NA,"6",1,2018-07-30,1,NA,NA,NA,NA,1,13,2,NA,3
NA,"7",1,2018-07-30,1,NA,NA,NA,NA,NA,6,4,NA,1
NA,"8",1,2018-07-30,NA,NA,NA,NA,NA,5,17,2,NA,2
NA,"9",1,2018-07-30,1,NA,NA,NA,NA,2,18,NA,NA,1
NA,"1",1,2018-08-06,NA,NA,NA,NA,NA,NA,8,1,NA,2
NA,"10",1,2018-08-06,NA,NA,NA,NA,NA,1,4,3,NA,6
NA,"2",1,2018-08-06,NA,NA,NA,NA,NA,1,13,1,NA,NA
NA,"3",1,2018-08-06,NA,NA,NA,NA,NA,NA,3,NA,NA,1
NA,"4",1,2018-08-06,NA,NA,NA,NA,NA,1,10,1,NA,8
NA,"5",1,2018-08-06,NA,NA,NA,NA,NA,NA,3,1,NA,2
NA,"6",1,2018-08-06,1,NA,NA,NA,NA,2,14,NA,NA,1
NA,"7",1,2018-08-06,NA,NA,NA,NA,NA,NA,5,4,NA,4
NA,"8",1,2018-08-06,NA,NA,NA,NA,NA,NA,12,5,NA,5
NA,"9",1,2018-08-06,NA,NA,NA,NA,4,8,6,3,NA,6
NA,"1",1,2018-08-13,NA,NA,NA,NA,1,2,5,2,NA,4
NA,"10",1,2018-08-13,2,NA,NA,NA,NA,1,6,NA,NA,NA
NA,"2",1,2018-08-13,NA,NA,1,NA,1,8,9,2,NA,7
NA,"3",1,2018-08-13,NA,NA,NA,NA,NA,NA,3,5,NA,2
NA,"4",1,2018-08-13,NA,NA,NA,NA,NA,3,8,NA,NA,3
NA,"5",1,2018-08-13,NA,1,NA,NA,NA,3,9,2,NA,3
NA,"6",1,2018-08-13,NA,NA,NA,NA,NA,2,7,4,NA,2
NA,"7",1,2018-08-13,1,NA,NA,NA,NA,2,5,NA,NA,NA
NA,"8",1,2018-08-13,NA,NA,NA,NA,NA,5,7,2,NA,4
NA,"9",1,2018-08-13,NA,NA,NA,NA,NA,1,9,NA,NA,5
NA,"1",1,2018-08-20,NA,NA,NA,NA,NA,NA,7,1,NA,NA
NA,"10",1,2018-08-20,NA,NA,NA,NA,NA,NA,9,2,NA,3
NA,"2",1,2018-08-20,NA,1,NA,NA,NA,4,14,1,NA,7
NA,"3",1,2018-08-20,NA,1,NA,NA,NA,NA,11,NA,NA,2
NA,"4",1,2018-08-20,NA,NA,NA,NA,NA,2,10,NA,NA,5
NA,"5",1,2018-08-20,NA,NA,NA,NA,NA,1,13,1,NA,2
NA,"6",1,2018-08-20,NA,NA,NA,NA,NA,2,10,NA,NA,4
NA,"7",1,2018-08-20,1,NA,NA,NA,NA,2,16,1,NA,7
NA,"8",1,2018-08-20,NA,NA,NA,NA,1,1,11,NA,NA,2
NA,"9",1,2018-08-20,NA,NA,NA,NA,NA,2,2,3,NA,1
NA,"1",1,2018-08-27,NA,NA,NA,NA,NA,NA,6,1,NA,NA
NA,"10",1,2018-08-27,NA,1,NA,NA,NA,1,7,NA,NA,3
NA,"2",1,2018-08-27,NA,NA,NA,NA,NA,3,9,NA,NA,5
NA,"3",1,2018-08-27,NA,NA,NA,NA,1,3,7,1,NA,NA
NA,"4",1,2018-08-27,NA,NA,NA,NA,NA,NA,1,1,NA,1
NA,"5",1,2018-08-27,NA,NA,NA,NA,NA,1,11,1,NA,NA
NA,"6",1,2018-08-27,1,1,NA,NA,2,3,11,2,NA,1
NA,"7",1,2018-08-27,1,NA,NA,NA,NA,4,13,NA,NA,1
NA,"8",1,2018-08-27,NA,1,NA,NA,NA,NA,13,NA,NA,1
NA,"9",1,2018-08-27,NA,NA,NA,NA,NA,1,8,NA,NA,1
NA,"1",1,2018-09-04,1,NA,NA,NA,1,1,6,4,NA,NA
NA,"10",1,2018-09-04,NA,NA,NA,NA,NA,NA,8,2,NA,3
NA,"2",1,2018-09-04,1,NA,NA,NA,NA,NA,12,2,NA,4
NA,"3",1,2018-09-04,NA,NA,NA,NA,NA,NA,10,4,NA,1
NA,"4",1,2018-09-04,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
NA,"5",1,2018-09-04,NA,NA,NA,NA,NA,6,6,1,NA,2
NA,"6",1,2018-09-04,NA,1,NA,NA,NA,NA,12,2,NA,2
NA,"7",1,2018-09-04,NA,NA,NA,NA,NA,1,13,1,NA,7
NA,"8",1,2018-09-04,NA,NA,NA,NA,NA,NA,3,2,NA,4
NA,"9",1,2018-09-04,NA,NA,NA,NA,NA,NA,6,1,NA,1
NA,"1",1,2018-09-10,NA,NA,NA,NA,NA,2,3,1,NA,NA
NA,"10",1,2018-09-10,NA,NA,NA,NA,NA,NA,3,1,NA,NA
NA,"2",1,2018-09-10,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,"3",1,2018-09-10,NA,NA,NA,NA,NA,1,7,NA,NA,1
NA,"4",1,2018-09-10,NA,NA,NA,NA,NA,NA,1,NA,NA,2
NA,"5",1,2018-09-10,NA,NA,NA,NA,1,NA,5,NA,NA,NA
NA,"6",1,2018-09-10,NA,NA,NA,NA,NA,1,6,NA,NA,NA
NA,"7",1,2018-09-10,NA,NA,NA,NA,NA,NA,4,1,NA,2
NA,"8",1,2018-09-10,NA,NA,NA,NA,1,1,14,NA,NA,NA
NA,"9",1,2018-09-10,NA,NA,NA,NA,NA,2,5,1,NA,NA
NA,"1",1,2018-09-17,NA,NA,NA,NA,NA,NA,2,3,NA,1
NA,"10",1,2018-09-17,NA,NA,NA,NA,NA,NA,5,2,NA,3
NA,"2",1,2018-09-17,NA,NA,NA,NA,NA,NA,8,NA,NA,2
NA,"3",1,2018-09-17,NA,NA,NA,NA,NA,NA,4,1,NA,2
NA,"4",1,2018-09-17,NA,NA,NA,NA,NA,NA,3,1,NA,2
NA,"5",1,2018-09-17,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,"6",1,2018-09-17,NA,NA,NA,NA,NA,NA,6,NA,NA,5
NA,"7",1,2018-09-17,NA,NA,NA,NA,NA,NA,8,3,NA,4
NA,"8",1,2018-09-17,NA,NA,NA,NA,NA,NA,4,NA,NA,2
NA,"9",1,2018-09-17,NA,NA,NA,NA,NA,NA,4,2,NA,2
NA,"1",1,2018-09-24,NA,NA,1,NA,NA,NA,4,1,NA,NA
NA,"10",1,2018-09-24,NA,NA,NA,NA,NA,NA,5,NA,NA,2
NA,"2",1,2018-09-24,NA,NA,NA,NA,NA,NA,7,NA,NA,2
NA,"3",1,2018-09-24,1,NA,NA,NA,NA,NA,7,1,NA,4
NA,"4",1,2018-09-24,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,"5",1,2018-09-24,NA,NA,NA,NA,NA,NA,6,NA,NA,3
NA,"6",1,2018-09-24,NA,NA,NA,NA,NA,NA,10,NA,NA,2
NA,"7",1,2018-09-24,NA,NA,NA,NA,NA,NA,9,NA,NA,2
NA,"8",1,2018-09-24,NA,NA,NA,NA,NA,NA,8,1,NA,2
NA,"9",1,2018-09-24,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,"1",1,2018-10-01,NA,NA,NA,NA,NA,NA,7,2,NA,3
NA,"10",1,2018-10-01,1,NA,NA,NA,NA,NA,13,NA,NA,1
NA,"2",1,2018-10-01,NA,NA,NA,NA,NA,1,11,NA,NA,5
NA,"3",1,2018-10-01,1,NA,NA,NA,NA,NA,15,NA,NA,1
NA,"4",1,2018-10-01,1,NA,NA,NA,NA,NA,10,1,NA,3
NA,"5",1,2018-10-01,NA,1,NA,NA,NA,NA,10,2,NA,5
NA,"6",1,2018-10-01,1,NA,NA,NA,NA,NA,5,4,NA,3
NA,"7",1,2018-10-01,1,NA,NA,NA,NA,NA,5,2,NA,2
NA,"8",1,2018-10-01,1,NA,NA,NA,NA,NA,12,NA,NA,3
NA,"9",1,2018-10-01,NA,NA,NA,NA,NA,NA,14,1,NA,2
NA,"1",1,2018-10-08,NA,NA,NA,NA,NA,NA,8,1,NA,2
NA,"10",1,2018-10-08,NA,NA,NA,NA,NA,NA,7,NA,NA,1
NA,"2",1,2018-10-08,NA,NA,NA,NA,NA,NA,22,2,NA,2
NA,"3",1,2018-10-08,NA,NA,NA,NA,NA,NA,9,NA,NA,2
NA,"4",1,2018-10-08,NA,NA,NA,NA,NA,1,5,3,NA,2
NA,"5",1,2018-10-08,NA,NA,NA,NA,NA,NA,5,2,NA,NA
NA,"6",1,2018-10-08,NA,NA,NA,NA,NA,NA,6,NA,NA,7
NA,"7",1,2018-10-08,NA,NA,NA,NA,NA,1,10,4,NA,3
NA,"8",1,2018-10-08,NA,NA,NA,NA,NA,NA,23,NA,NA,1
NA,"9",1,2018-10-08,3,NA,NA,NA,NA,NA,5,NA,NA,2
NA,"1",1,2018-10-15,NA,NA,NA,NA,NA,NA,15,2,NA,5
NA,"10",1,2018-10-15,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
NA,"2",1,2018-10-15,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,"3",1,2018-10-15,NA,NA,NA,NA,NA,NA,13,1,NA,4
NA,"4",1,2018-10-15,2,NA,NA,NA,NA,NA,11,2,NA,3
NA,"5",1,2018-10-15,1,NA,NA,NA,NA,NA,19,NA,NA,2
NA,"6",1,2018-10-15,NA,NA,NA,NA,NA,NA,8,NA,NA,3
NA,"7",1,2018-10-15,NA,NA,NA,NA,NA,NA,6,2,NA,3
NA,"8",1,2018-10-15,NA,NA,NA,NA,NA,NA,14,NA,NA,NA
NA,"9",1,2018-10-15,NA,NA,NA,NA,NA,NA,11,2,NA,NA
NA,"1",1,2018-10-22,1,NA,NA,NA,NA,NA,3,NA,NA,1
NA,"10",1,2018-10-22,NA,1,NA,NA,NA,NA,15,2,NA,2
NA,"2",1,2018-10-22,3,NA,NA,NA,NA,1,18,1,NA,2
NA,"3",1,2018-10-22,1,NA,NA,NA,NA,NA,6,2,NA,1
NA,"4",1,2018-10-22,NA,2,NA,NA,NA,NA,12,4,NA,NA
NA,"5",1,2018-10-22,NA,NA,NA,NA,NA,NA,6,1,NA,1
NA,"6",1,2018-10-22,1,NA,NA,NA,NA,NA,11,NA,NA,2
NA,"7",1,2018-10-22,4,NA,NA,NA,NA,NA,12,2,NA,NA
NA,"8",1,2018-10-22,NA,NA,NA,NA,NA,NA,14,1,NA,1
NA,"9",1,2018-10-22,1,NA,NA,NA,NA,NA,14,3,NA,NA
NA,"1",1,2018-10-29,NA,NA,NA,NA,NA,NA,1,NA,NA,1
NA,"10",1,2018-10-29,1,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"2",1,2018-10-29,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"3",1,2018-10-29,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
NA,"4",1,2018-10-29,1,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"5",1,2018-10-29,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"6",1,2018-10-29,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"7",1,2018-10-29,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,"8",1,2018-10-29,NA,NA,NA,NA,NA,NA,2,NA,NA,1
NA,"9",1,2018-10-29,2,NA,NA,NA,NA,NA,4,1,NA,NA
NA,"1",1,2018-11-05,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
NA,"10",1,2018-11-05,1,NA,NA,NA,NA,NA,14,3,NA,NA
NA,"2",1,2018-11-05,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
NA,"3",1,2018-11-05,1,NA,NA,NA,NA,NA,10,1,NA,NA
NA,"4",1,2018-11-05,4,NA,NA,NA,NA,NA,17,NA,NA,NA
NA,"5",1,2018-11-05,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
NA,"6",1,2018-11-05,NA,1,NA,NA,NA,NA,9,1,NA,1
NA,"7",1,2018-11-05,2,NA,NA,NA,NA,NA,12,1,NA,1
NA,"8",1,2018-11-05,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
NA,"9",1,2018-11-05,1,NA,NA,NA,NA,1,27,NA,NA,NA
NA,"1",1,2018-11-12,1,NA,NA,NA,NA,NA,8,1,NA,NA
NA,"10",1,2018-11-12,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
NA,"2",1,2018-11-12,1,NA,NA,NA,NA,NA,12,1,NA,NA
NA,"3",1,2018-11-12,21,NA,NA,NA,NA,NA,30,NA,NA,NA
NA,"4",1,2018-11-12,1,NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"5",1,2018-11-12,2,NA,NA,NA,NA,NA,17,2,NA,NA
NA,"6",1,2018-11-12,2,NA,NA,NA,NA,NA,12,NA,NA,NA
NA,"7",1,2018-11-12,6,NA,NA,NA,NA,NA,8,2,NA,NA
NA,"8",1,2018-11-12,37,NA,NA,NA,NA,NA,16,NA,NA,NA
NA,"9",1,2018-11-12,1,NA,NA,NA,NA,NA,5,NA,NA,2
"ST200001","A",1,2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ST200081","A",1,2020-03-31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST200121","A",1,2020-04-06,NA,NA,NA,NA,NA,2,3,1,NA,NA
"ST200121","B",1,2020-04-06,1,1,NA,NA,NA,NA,3,1,NA,5
"ST200161","A",1,2020-04-14,1,1,NA,NA,NA,1,1,NA,NA,1
"ST200162","A",1,2020-04-14,NA,NA,NA,NA,NA,NA,1,NA,NA,4
"ST200163","A",1,2020-04-14,NA,1,NA,NA,NA,1,NA,NA,NA,5
"ST200164","A",1,2020-04-14,NA,NA,NA,NA,NA,NA,1,1,NA,5
"ST200165","A",1,2020-04-14,1,NA,NA,NA,NA,NA,3,1,NA,3
"ST200161","B",1,2020-04-14,1,3,NA,NA,NA,NA,3,1,NA,3
"ST200162","B",1,2020-04-14,1,NA,NA,NA,NA,NA,1,NA,NA,3
"ST200163","B",1,2020-04-14,NA,1,NA,NA,NA,NA,2,NA,NA,NA
"ST200164","B",1,2020-04-14,NA,1,NA,NA,NA,NA,1,3,NA,3
"ST200165","B",1,2020-04-14,1,2,NA,NA,NA,2,7,NA,NA,4
"ST200201","A",1,2020-04-20,4,1,NA,NA,NA,NA,132,NA,NA,4
"ST200202","A",1,2020-04-20,1,1,NA,NA,NA,NA,3,2,NA,5
"ST200203","A",1,2020-04-20,NA,2,NA,NA,NA,NA,3,NA,NA,6
"ST200204","A",1,2020-04-20,NA,1,NA,NA,NA,1,NA,NA,NA,9
"ST200205","A",1,2020-04-20,NA,1,NA,NA,NA,NA,3,NA,NA,5
"ST200201","B",1,2020-04-20,2,1,NA,NA,NA,NA,102,NA,NA,2
"ST200202","B",1,2020-04-20,1,NA,NA,NA,NA,NA,5,NA,NA,3
"ST200203","B",1,2020-04-20,NA,1,NA,NA,NA,NA,3,NA,NA,4
"ST200204","B",1,2020-04-20,NA,1,NA,NA,NA,NA,2,NA,NA,3
"ST200205","B",1,2020-04-20,NA,1,NA,NA,NA,1,4,NA,NA,4
"ST200241","A",1,2020-04-28,2,2,NA,NA,NA,NA,19,1,NA,14
"ST200242","A",1,2020-04-28,NA,NA,NA,NA,NA,NA,15,NA,NA,5
"ST200243","A",1,2020-04-28,1,NA,NA,NA,NA,NA,12,2,NA,9
"ST200244","A",1,2020-04-28,NA,NA,NA,NA,NA,NA,25,NA,NA,12
"ST200245","A",1,2020-04-28,NA,3,NA,NA,NA,NA,6,1,NA,10
"ST200241","B",1,2020-04-28,2,NA,NA,NA,1,NA,7,NA,NA,6
"ST200242","B",1,2020-04-28,NA,NA,NA,NA,NA,NA,8,NA,NA,10
"ST200243","B",1,2020-04-28,NA,NA,NA,NA,NA,NA,2,NA,NA,6
"ST200244","B",1,2020-04-28,NA,NA,NA,NA,NA,NA,12,NA,NA,11
"ST200245","B",1,2020-04-28,NA,NA,NA,NA,1,NA,7,NA,NA,3
"ST200281","A",1,2020-05-04,NA,NA,NA,NA,NA,NA,32,NA,NA,32
"ST200282","A",1,2020-05-04,NA,NA,NA,NA,NA,NA,14,1,NA,24
"ST200283","A",1,2020-05-04,NA,NA,NA,NA,NA,3,13,NA,NA,30
"ST200284","A",1,2020-05-04,2,NA,NA,NA,NA,NA,28,10,NA,27
"ST200285","A",1,2020-05-04,NA,NA,NA,NA,NA,NA,16,NA,NA,16
"ST200281","B",1,2020-05-04,2,NA,NA,NA,NA,NA,27,NA,NA,39
"ST200282","B",1,2020-05-04,1,NA,NA,NA,NA,NA,7,1,NA,19
"ST200283","B",1,2020-05-04,NA,NA,NA,NA,NA,NA,15,3,NA,35
"ST200284","B",1,2020-05-04,3,NA,NA,NA,NA,1,8,2,NA,23
"ST200285","B",1,2020-05-04,NA,NA,NA,NA,NA,2,11,NA,NA,15
"ST200321","A",1,2020-05-12,NA,NA,NA,NA,NA,NA,47,NA,NA,13
"ST200322","A",1,2020-05-12,NA,NA,NA,NA,NA,NA,52,NA,NA,14
"ST200323","A",1,2020-05-12,NA,NA,NA,NA,NA,1,7,2,NA,5
"ST200324","A",1,2020-05-12,NA,NA,NA,NA,NA,1,16,NA,NA,8
"ST200325","A",1,2020-05-12,NA,NA,NA,NA,NA,NA,15,NA,NA,7
"ST200321","B",1,2020-05-12,NA,NA,NA,NA,NA,NA,7,NA,NA,5
"ST200322","B",1,2020-05-12,NA,NA,NA,NA,NA,NA,34,NA,NA,12
"ST200323","B",1,2020-05-12,NA,NA,NA,NA,NA,NA,5,NA,NA,6
"ST200324","B",1,2020-05-12,NA,NA,NA,NA,NA,2,10,NA,NA,10
"ST200325","B",1,2020-05-12,NA,NA,NA,NA,NA,NA,30,NA,NA,15
"ST200361","A",1,2020-05-18,NA,NA,NA,NA,NA,NA,37,NA,NA,90
"ST200362","A",1,2020-05-18,NA,NA,NA,NA,1,NA,106,NA,NA,90
"ST200363","A",1,2020-05-18,NA,NA,NA,NA,NA,NA,82,NA,NA,162
"ST200364","A",1,2020-05-18,1,NA,NA,NA,NA,NA,89,NA,NA,47
"ST200365","A",1,2020-05-18,NA,NA,NA,NA,NA,2,40,NA,NA,59
"ST200361","B",1,2020-05-18,1,NA,NA,NA,1,1,40,NA,NA,62
"ST200362","B",1,2020-05-18,2,NA,NA,NA,NA,2,46,NA,NA,72
"ST200363","B",1,2020-05-18,NA,NA,NA,NA,NA,NA,118,1,NA,137
"ST200364","B",1,2020-05-18,NA,NA,NA,NA,NA,2,53,NA,NA,43
"ST200365","B",1,2020-05-18,NA,NA,NA,NA,3,1,53,NA,NA,61
"ST200401","A",1,2020-05-26,1,NA,NA,NA,5,2,106,7,NA,56
"ST200402","A",1,2020-05-26,NA,1,NA,NA,4,3,46,2,NA,20
"ST200403","A",1,2020-05-26,8,NA,NA,NA,NA,1,139,1,NA,60
"ST200404","A",1,2020-05-26,8,NA,NA,NA,3,3,58,5,NA,49
"ST200405","A",1,2020-05-26,4,NA,NA,NA,2,2,128,2,NA,52
"ST200401","B",1,2020-05-26,1,NA,NA,NA,2,1,74,2,NA,35
"ST200402","B",1,2020-05-26,1,NA,NA,NA,NA,NA,89,1,NA,25
"ST200403","B",1,2020-05-26,8,NA,NA,NA,4,NA,85,2,NA,37
"ST200404","B",1,2020-05-26,NA,NA,NA,NA,3,2,91,4,NA,24
"ST200405","B",1,2020-05-26,NA,NA,NA,NA,5,1,73,NA,NA,40
"ST200441","A",1,2020-06-01,4,NA,NA,NA,2,3,40,NA,NA,10
"ST200442","A",1,2020-06-01,2,NA,NA,NA,NA,NA,36,NA,NA,7
"ST200443","A",1,2020-06-01,NA,NA,NA,NA,2,3,45,NA,NA,10
"ST200444","A",1,2020-06-01,1,NA,NA,NA,3,4,46,3,NA,15
"ST200445","A",1,2020-06-01,2,NA,NA,NA,2,NA,27,NA,NA,12
"ST200441","B",1,2020-06-01,NA,NA,1,NA,4,2,34,NA,NA,15
"ST200442","B",1,2020-06-01,2,3,NA,NA,3,NA,58,NA,NA,8
"ST200443","B",1,2020-06-01,NA,NA,NA,NA,4,NA,34,1,NA,7
"ST200444","B",1,2020-06-01,NA,NA,NA,NA,2,5,43,NA,NA,6
"ST200445","B",1,2020-06-01,NA,NA,NA,NA,4,3,32,NA,NA,9
"ST200481","A",1,2020-06-08,NA,1,NA,NA,1,1,32,4,NA,11
"ST200482","A",1,2020-06-08,NA,NA,NA,NA,4,2,24,NA,NA,16
"ST200483","A",1,2020-06-08,1,2,NA,NA,NA,1,54,1,NA,12
"ST200484","A",1,2020-06-08,NA,1,NA,NA,NA,1,44,1,NA,4
"ST200485","A",1,2020-06-08,NA,2,NA,NA,NA,1,55,6,NA,11
"ST200481","B",1,2020-06-08,1,NA,NA,NA,3,3,45,NA,NA,18
"ST200482","B",1,2020-06-08,1,NA,NA,NA,NA,NA,42,NA,NA,11
"ST200483","B",1,2020-06-08,NA,NA,NA,NA,NA,3,54,1,NA,15
"ST200484","B",1,2020-06-08,NA,NA,NA,NA,NA,2,27,2,NA,10
"ST200485","B",1,2020-06-08,1,1,NA,NA,NA,NA,40,NA,NA,7
"ST200521","A",1,2020-06-15,NA,1,NA,NA,2,1,24,NA,NA,7
"ST200522","A",1,2020-06-15,2,NA,NA,NA,NA,NA,18,1,NA,6
"ST200523","A",1,2020-06-15,1,NA,NA,NA,1,2,11,NA,NA,5
"ST200524","A",1,2020-06-15,1,1,NA,NA,1,1,11,NA,NA,3
"ST200525","A",1,2020-06-15,2,NA,NA,NA,3,1,22,NA,NA,5
"ST200521","B",1,2020-06-15,1,NA,NA,1,2,NA,20,NA,NA,9
"ST200522","B",1,2020-06-15,1,NA,NA,NA,1,NA,10,NA,NA,4
"ST200523","B",1,2020-06-15,2,NA,NA,NA,3,1,23,2,NA,7
"ST200524","B",1,2020-06-15,NA,1,NA,NA,1,2,17,NA,NA,NA
"ST200525","B",1,2020-06-15,1,NA,NA,NA,NA,NA,30,NA,NA,4
"ST200561","A",1,2020-06-22,2,1,1,NA,1,1,7,1,NA,10
"ST200562","A",1,2020-06-22,1,NA,NA,NA,2,6,43,NA,NA,10
"ST200563","A",1,2020-06-22,2,NA,NA,NA,2,6,26,1,NA,7
"ST200564","A",1,2020-06-22,1,NA,3,NA,5,5,39,2,NA,13
"ST200565","A",1,2020-06-22,NA,NA,NA,NA,NA,5,8,6,NA,9
