Sample ID,Side/ Trap #,Watershed,Date,Dipteran_Large,Terrestrial_Large,Caddisfly_Large,Mayfly_Large,Stonefly_Large,Other_Large,Dipteran_Small,Terrestrial_Small,Caddisfly_Small,Other_Small,,month,day, year
ST190462,,5,6/17/2019,3,2,,,,3,28,3,,1,,6,17,2019
ST190463,,5,6/17/2019,1,,,,1,2,45,2,,,,6,17,2019
ST190463,,5,6/17/2019,,4,,,,2,26,1,,,,6,17,2019
ST190464,,5,6/17/2019,,1,,,1,1,54,1,,,,6,17,2019
ST190464,,5,6/17/2019,,4,,,,1,56,5,,,,6,17,2019
ST190465,,5,6/17/2019,1,4,1,,1,2,41,8,,1,,6,17,2019
ST190465,,5,6/17/2019,1,2,,,,1,18,5,,,,6,17,2019
ST190501,,5,6/24/2019,3,3,2,,3,3,65,2,,2,,6,24,2019
ST190501,,5,6/24/2019,2,1,1,,,2,51,7,,,,6,24,2019
ST190502,,5,6/24/2019,,1,,,,2,53,6,,2,,6,24,2019
ST190502,,5,6/24/2019,1,,,,1,2,47,7,,1,,6,24,2019
ST190503,,5,6/24/2019,,,3,,1,4,52,8,,,,6,24,2019
ST190503,,5,6/24/2019,,2,6,,,3,40,2,1,,,6,24,2019
ST190504,,5,6/24/2019,2,3,,,2,3,48,5,,4,,6,24,2019
ST190504,,5,6/24/2019,,1,,,,1,43,4,,,,6,24,2019
ST190505,,5,6/24/2019,,,1,,,2,24,9,,,,6,24,2019
ST190505,,5,6/24/2019,2,4,3,,,3,46,3,,2,,6,24,2019
ST190541,,5,7/1/2019,2,,1,,,2,30,8,,2,,7,1,2019
ST190541,,5,7/1/2019,1,2,1,,1,3,42,5,,1,,7,1,2019
ST190542,,5,7/1/2019,,1,,,2,3,42,6,,1,,7,1,2019
ST190542,,5,7/1/2019,2,2,1,,,3,39,13,,2,,7,1,2019
ST190543,,5,7/1/2019,1,1,9,,1,2,43,7,,,,7,1,2019
ST190543,,5,7/1/2019,1,,4,,,1,35,4,,,,7,1,2019
ST190544,,5,7/1/2019,1,1,,,1,2,37,8,,2,,7,1,2019
ST190544,,5,7/1/2019,,1,3,,4,3,93,12,,3,,7,1,2019
ST190545,,5,7/1/2019,1,,,,,1,32,14,,3,,7,1,2019
ST190545,,5,7/1/2019,1,2,1,,1,1,44,6,,,,7,1,2019
ST190581,,5,7/8/2019,,2,,,2,,75,11,,4,,7,8,2019
ST190581,,5,7/8/2019,,3,,,1,,43,5,,4,,7,8,2019
ST190582,,5,7/8/2019,,,,,2,3,60,8,1,3,,7,8,2019
ST190582,,5,7/8/2019,1,2,,,3,2,48,2,,8,,7,8,2019
ST190583,,5,7/8/2019,1,3,,,1,,43,8,2,4,,7,8,2019
ST190583,,5,7/8/2019,1,1,3,,1,1,22,3,2,4,,7,8,2019
ST190584,,5,7/8/2019,4,2,5,,3,3,56,13,,13,,7,8,2019
ST190584,,5,7/8/2019,,2,3,,3,1,43,8,,4,,7,8,2019
ST190585,,5,7/8/2019,1,1,3,,1,1,36,2,,2,,7,8,2019
ST190585,,5,7/8/2019,1,1,2,,,,48,6,,1,,7,8,2019
ST190621,,5,7/15/2019,2,1,,,,2,32,5,,3,,7,15,2019
ST190621,,5,7/15/2019,1,1,1,,2,,38,8,,13,,7,15,2019
ST190622,,5,7/15/2019,3,2,,,,1,27,5,,19,,7,15,2019
ST190622,,5,7/15/2019,2,1,,,1,1,36,3,,9,,7,15,2019
ST190623,,5,7/15/2019,2,,1,,2,,17,5,,18,,7,15,2019
ST190623,,5,7/15/2019,1,2,1,,,,38,12,1,10,,7,15,2019
ST190624,,5,7/15/2019,,,,,,,18,2,1,7,,7,15,2019
ST190624,,5,7/15/2019,4,,1,,1,,31,7,,15,,7,15,2019
ST190625,,5,7/15/2019,2,3,,,,,27,8,,13,,7,15,2019
ST190625,,5,7/15/2019,2,1,1,,1,3,24,12,,9,,7,15,2019
ST190661,,5,7/22/2019,1,,,,1,,25,10,,8,,7,22,2019
ST190661,,5,7/22/2019,2,,,,,4,22,4,,5,,7,22,2019
ST190662,,5,7/22/2019,1,1,,,1,9,16,10,,8,,7,22,2019
ST190662,,5,7/22/2019,,1,1,,,3,22,6,,9,,7,22,2019
ST190663,,5,7/22/2019,5,,1,,2,1,9,8,,9,,7,22,2019
ST190663,,5,7/22/2019,3,2,2,,,5,25,7,,7,,7,22,2019
ST190664,,5,7/22/2019,3,1,4,,2,2,26,5,,8,,7,22,2019
ST190664,,5,7/22/2019,1,,2,,,1,16,3,,3,,7,22,2019
ST190665,,5,7/22/2019,1,1,,,2,1,11,7,,3,,7,22,2019
ST190665,,5,7/22/2019,4,2,,,1,2,15,13,,3,,7,22,2019
ST190701,,5,7/29/2019,5,,,,,,14,5,,,,7,29,2019
ST190701,,5,7/29/2019,,,,,1,,12,4,,3,,7,29,2019
ST190702,,5,7/29/2019,1,2,,,,1,7,5,1,1,,7,29,2019
ST190702,,5,7/29/2019,4,1,,,,3,28,4,,,,7,29,2019
ST190703,,5,7/29/2019,5,2,1,,,,21,5,,2,,7,29,2019
ST190703,,5,7/29/2019,,1,3,,,,38,6,,,,7,29,2019
ST190704,,5,7/29/2019,1,3,,,,,21,4,,,,7,29,2019
ST190704,,5,7/29/2019,1,1,,,,,20,4,,1,,7,29,2019
ST190705,,5,7/29/2019,,3,,,,,19,2,,3,,7,29,2019
ST190705,,5,7/29/2019,3,,,,,1,13,1,,,,7,29,2019
ST190741,,5,8/5/2019,1,3,,,,,16,5,,1,,8,5,2019
ST190741,,5,8/5/2019,1,,,,,2,15,11,,,,8,5,2019
ST190742,,5,8/5/2019,1,6,,,,1,22,5,,4,,8,5,2019
ST190742,,5,8/5/2019,,,,,,2,26,8,,,,8,5,2019
ST190743,,5,8/5/2019,1,3,1,,,2,33,5,,4,,8,5,2019
ST190743,,5,8/5/2019,,4,,1,,1,35,7,,4,,8,5,2019
ST190744,,5,8/5/2019,4,6,1,,,1,33,7,,1,,8,5,2019
ST190744,,5,8/5/2019,,2,1,,,1,10,7,,2,,8,5,2019
ST190745,,5,8/5/2019,5,1,,,1,1,40,10,,4,,8,5,2019
ST190745,,5,8/5/2019,3,7,,,,2,27,6,,4,,8,5,2019
ST190781,,5,8/12/2019,2,4,,,,2,32,7,,2,,8,12,2019
ST190781,,5,8/12/2019,,3,,,1,1,22,3,,2,,8,12,2019
ST190782,,5,8/12/2019,,,,,1,2,10,8,,1,,8,12,2019
ST190782,,5,8/12/2019,1,3,,,,1,19,5,,1,,8,12,2019
ST190783,,5,8/12/2019,1,2,,,1,1,25,4,,1,,8,12,2019
ST190783,,5,8/12/2019,1,,1,,,1,19,9,,1,,8,12,2019
ST190784,,5,8/12/2019,,3,1,,1,1,21,3,,5,,8,12,2019
ST190784,,5,8/12/2019,,9,,,2,,25,2,,3,,8,12,2019
ST190785,,5,8/12/2019,3,7,,,,2,14,4,,2,,8,12,2019
ST190785,,5,8/12/2019,1,3,,,,2,13,10,,5,,8,12,2019
ST190821,,5,8/19/2019,,5,,,,2,7,7,,,,8,19,2019
ST190821,,5,8/19/2019,,2,,,,1,4,1,,,,8,19,2019
ST190822,,5,8/19/2019,4,11,1,,1,,23,3,,3,,8,19,2019
ST190822,,5,8/19/2019,,,,,1,,3,1,,2,,8,19,2019
ST190823,,5,8/19/2019,1,2,,,,1,10,1,,,,8,19,2019
ST190823,,5,8/19/2019,,2,,,,1,21,3,,,,8,19,2019
ST190824,,5,8/19/2019,1,3,,,1,2,8,3,,1,,8,19,2019
ST190824,,5,8/19/2019,1,4,,,,1,23,7,,1,,8,19,2019
ST190825,,5,8/19/2019,1,1,,,1,,12,5,,,,8,19,2019
ST190825,,5,8/19/2019,1,2,1,,,1,12,3,,,,8,19,2019
ST190861,,5,8/26/2019,,3,1,,2,1,24,2,,,,8,26,2019
ST190861,,5,8/26/2019,,,1,,3,1,49,3,,,,8,26,2019
ST190862,,5,8/26/2019,,,,,,1,14,1,,,,8,26,2019
ST190862,,5,8/26/2019,2,,,,,1,9,3,,2,,8,26,2019
ST190863,,5,8/26/2019,,1,,,1,1,7,3,,,,8,26,2019
ST190863,,5,8/26/2019,1,4,,,1,,13,7,,1,,8,26,2019
ST190864,,5,8/26/2019,,2,,,,,9,2,,,,8,26,2019
ST190864,,5,8/26/2019,,4,,,1,,12,2,,,,8,26,2019
ST190865,,5,8/26/2019,,,,,,,12,1,,2,,8,26,2019
ST190865,,5,8/26/2019,,,,,,,21,6,,,,8,26,2019
ST190381,,5,6/2/2019,1,2,,,,1,33,,,,,6,2,2019
ST190381,,5,6/2/2019,2,2,,,,,83,,,3,,6,2,2019
ST190382,,5,6/2/2019,6,2,,,,,89,,,3,,6,2,2019
ST190382,,5,6/2/2019,2,1,,,,1,66,,,6,,6,2,2019
ST190383,,5,6/2/2019,4,1,,,1,,80,,,3,,6,2,2019
ST190383,,5,6/2/2019,1,2,,,,1,126,1,,4,,6,2,2019
ST190384,,5,6/2/2019,1,,,,,,45,,,1,,6,2,2019
ST190384,,5,6/2/2019,4,2,,,2,,,,,,,6,2,2019
ST190385,,5,6/2/2019,4,2,,,2,2,189,,,2,,6,2,2019
ST190385,,5,6/2/2019,,,,,1,1,49,,,1,,6,2,2019
ST190421,,5,6/10/2019,1,1,1,,1,4,229,,,6,,6,10,2019
ST190421,,5,6/10/2019,4,,,,2,4,97,,,3,,6,10,2019
ST190422,,5,6/10/2019,2,1,,,1,3,126,,,7,,6,10,2019
ST190422,,5,6/10/2019,2,,,,,3,107,,,3,,6,10,2019
ST190423,,5,6/10/2019,2,5,,,,6,154,,,4,,6,10,2019
ST190423,,5,6/10/2019,1,7,,,1,2,138,,,1,,6,10,2019
ST190424,,5,6/10/2019,2,3,,,1,3,221,,,5,,6,10,2019
ST190424,,5,6/10/2019,3,8,,,1,4,270,,,2,,6,10,2019
ST190425,,5,6/10/2019,1,3,,,,4,147,,,2,,6,10,2019
ST190425,,5,6/10/2019,3,4,,,1,1,118,2,,3,,6,10,2019
ST191016,A,4,9/23/2019,1,1,1,,1,,12,,,,,9,23,2019
ST191016,B,4,9/23/2019,2,2,,,,1,5,1,,5,,9,23,2019
ST191017,A,4,9/23/2019,,1,,,,2,12,,,,,9,23,2019
ST191017,B,4,9/23/2019,,1,,,,1,13,1,,4,,9,23,2019
ST191018,A,4,9/23/2019,1,4,,,,1,7,,,3,,9,23,2019
ST191018,B,4,9/23/2019,,2,,,,,17,,,4,,9,23,2019
ST191019,A,4,9/23/2019,,4,,,,,11,3,,2,,9,23,2019
ST191019,B,4,9/23/2019,,3,,,,,7,1,,6,,9,23,2019
ST191020,A,4,9/23/2019,0,,,,,,7,1,,4,,9,23,2019
ST191020,B,4,9/23/2019,,1,,,,,9,1,,4,,9,23,2019
ST191056,A,4,9/30/2019,,2,1,,,1,6,2,,3,,9,30,2019
ST191056,B,4,9/30/2019,1,1,,,,1,3,,,4,,9,30,2019
ST191057,A,4,9/30/2019,,1,,,,,6,,,,,9,30,2019
ST191057,B,4,9/30/2019,,,,,,,7,1,,1,,9,30,2019
ST191058,A,4,9/30/2019,,,,,,1,12,2,,3,,9,30,2019
ST191058,B,4,9/30/2019,,,,,,10,15,2,,2,,9,30,2019
ST191059,A,4,9/30/2019,,,,,,,8,2,,1,,9,30,2019
ST191059,B,4,9/30/2019,,1,,,,2,17,,,4,,9,30,2019
ST191060,A,4,9/30/2019,,,,,,,22,2,,2,,9,30,2019
ST191060,B,4,9/30/2019,,,,,,1,7,2,,1,,9,30,2019
ST191096,A,4,10/7/2019,2,,,,,1,3,,,1,,10,7,2019
ST191096,B,4,10/7/2019,1,,,,,,11,,,1,,10,7,2019
ST191097,A,4,10/7/2019,1,,,,,,16,1,,3,,10,7,2019
ST191097,B,4,10/7/2019,2,2,,,,,9,1,,,,10,7,2019
ST191098,A,4,10/7/2019,2,,,,,1,10,,,2,,10,7,2019
ST191098,B,4,10/7/2019,3,1,,,,,11,,,2,,10,7,2019
ST191099,A,4,10/7/2019,1,,,,,,16,1,,3,,10,7,2019
ST191099,B,4,10/7/2019,1,,,,,,9,2,,3,,10,7,2019
ST191100,A,4,10/7/2019,4,,,,,,11,,,2,,10,7,2019
ST191100,B,4,10/7/2019,2,,,,,,7,1,,,,10,7,2019
ST191136,A,4,10/15/2019,,3,,,,2,7,1,,4,,10,15,2019
ST191136,B,4,10/15/2019,7,,,,,5,13,1,,9,,10,15,2019
ST191137,A,4,10/15/2019,3,,,,,1,14,,,9,,10,15,2019
ST191137,B,4,10/15/2019,,,,,,3,6,,,5,,10,15,2019
ST191138,A,4,10/15/2019,,,,,,,,,,,,10,15,2019
ST191138,B,4,10/15/2019,,,,,,,,,,,,10,15,2019
ST191139,A,4,10/15/2019,14,,,,,3,18,2,,,,10,15,2019
ST191139,B,4,10/15/2019,5,,1,,,2,21,1,,9,,10,15,2019
ST191140,A,4,10/15/2019,,,,,,,,,,,,10,15,2019
ST191140,B,4,10/15/2019,,,,,,,,,,,,10,15,2019
ST191176,A,4,10/21/2019,,,,,,,,,,,,10,21,2019
ST191176,B,4,10/21/2019,,,,,,,,,,,,10,21,2019
ST191177,A,4,10/21/2019,7,,,,,,17,,,2,,10,21,2019
ST191177,B,4,10/21/2019,,,,,,,11,,,2,,10,21,2019
ST191178,A,4,10/21/2019,,,,,,,7,1,,,,10,21,2019
ST191178,B,4,10/21/2019,4,,,,,,10,,,2,,10,21,2019
ST191179,A,4,10/21/2019,,,,,,,1,,,1,,10,21,2019
ST191179,B,4,10/21/2019,3,,,,,1,18,2,,3,,10,21,2019
ST191180,A,4,10/21/2019,,,,,,,8,,,1,,10,21,2019
ST191180,B,4,10/21/2019,4,,,,,1,19,1,,3,,10,21,2019
,1,3,6/18/2018,,,,,,,,,,,,6,18,2018
,2,3,6/18/2018,,,,,,,,,,,,6,18,2018
,3,3,6/18/2018,,,,,,,,,,,,6,18,2018
,4,3,6/18/2018,,,,,,,,,,,,6,18,2018
,5,3,6/18/2018,,,,,,,,,,,,6,18,2018
,6,3,6/18/2018,,,,,,,,,,,,6,18,2018
,7,3,6/18/2018,,,,,,,,,,,,6,18,2018
,8,3,6/18/2018,,,,,,,,,,,,6,18,2018
,9,3,6/18/2018,,,,,,,,,,,,6,18,2018
,10,3,6/18/2018,,,,,,,,,,,,6,18,2018
,1,2,7/16/2018,4,,,,1,3,23,5,,18,,7,16,2018
,2,2,7/16/2018,2,,,,1,3,18,2,,17,,7,16,2018
,3,2,7/16/2018,2,,,,,2,23,1,,18,,7,16,2018
,4,2,7/16/2018,5,1,,,,1,21,4,,17,,7,16,2018
,5,2,7/16/2018,8,,,,,3,60,7,,15,,7,16,2018
,6,2,7/16/2018,7,1,,,,,29,4,,15,,7,16,2018
,7,2,7/16/2018,24,2,,,,1,28,2,,11,,7,16,2018
,8,2,7/16/2018,4,,,,,1,10,1,,6,,7,16,2018
,9,2,7/16/2018,2,,,,1,6,50,1,,12,,7,16,2018
,10,2,7/16/2018,1,,,,,3,17,2,,13,,7,16,2018
,1,2,7/9/2018,1,2,,,,3,46,1,,23,,7,9,2018
,2,2,7/9/2018,1,2,,,,5,20,2,,11,,7,9,2018
,3,2,7/9/2018,1,1,,,,3,50,,,15,,7,9,2018
,4,2,7/9/2018,1,1,,,,4,27,4,,15,,7,9,2018
,5,2,7/9/2018,1,,,,,1,68,5,,27,,7,9,2018
,6,2,7/9/2018,2,,,,,5,43,8,,16,,7,9,2018
,7,2,7/9/2018,7,1,,,,4,57,7,,14,,7,9,2018
,8,2,7/9/2018,1,,,,,1,30,,,10,,7,9,2018
,9,2,7/9/2018,3,1,,,,2,47,3,,19,,7,9,2018
,10,2,7/9/2018,1,1,,,,2,24,1,,7,,7,9,2018
,7,2,7/23/2018,5,,,,,1,20,,,8,,7,23,2018
,8,2,7/23/2018,3,,,,,,24,,,4,,7,23,2018
,1,2,7/2/2018,,1,2,,,2,93,6,,22,,7,2,2018
,2,2,7/2/2018,3,,1,,,3,53,,,13,,7,2,2018
,3,2,7/2/2018,,1,1,,,6,82,1,,15,,7,2,2018
,4,2,7/2/2018,2,3,,,,,40,,,33,,7,2,2018
,5,2,7/2/2018,1,,,,,1,100,9,,28,,7,2,2018
,6,2,7/2/2018,1,,,,,,37,1,,15,,7,2,2018
,7,2,7/2/2018,,,,,,4,74,3,,22,,7,2,2018
,8,2,7/2/2018,1,,,,,3,78,,,8,,7,2,2018
,9,2,7/2/2018,2,1,,,,3,86,1,,25,,7,2,2018
,10,2,7/2/2018,,,,,,1,30,1,,11,,7,2,2018
,1,2,8/6/2018,3,,,,,,10,1,,5,,8,6,2018
,2,2,8/6/2018,,,,,,,3,,,1,,8,6,2018
,3,2,8/6/2018,,,,,1,,6,,,2,,8,6,2018
,4,2,8/6/2018,1,,,,,2,14,,,6,,8,6,2018
,5,2,8/6/2018,,,,,,2,11,,,3,,8,6,2018
,6,2,8/6/2018,1,,,,,4,4,1,,3,,8,6,2018
,1,2,8/13/2018,1,,,,,2,13,,,1,,8,13,2018
,2,2,8/13/2018,,,,,,1,9,,,1,,8,13,2018
,3,2,8/13/2018,1,,,,,,6,1,,2,,8,13,2018
,4,2,8/13/2018,3,,,,2,,14,1,,5,,8,13,2018
,5,2,8/13/2018,3,,,,,,26,1,,6,,8,13,2018
,6,2,8/13/2018,,,,,,1,9,,,4,,8,13,2018
,7,2,8/13/2018,,,,,,1,9,,,3,,8,13,2018
,8,2,8/13/2018,4,,,,,2,12,1,,1,,8,13,2018
,9,2,8/13/2018,2,,,,1,,20,2,,7,,8,13,2018
,10,2,8/13/2018,8,,,,,2,24,3,,4,,8,13,2018
,1,2,8/20/2018,,1,,,,2,19,1,,3,,8,20,2018
,2,2,8/20/2018,2,,,,,1,12,,,5,,8,20,2018
,3,2,8/20/2018,1,1,,,,,17,1,,,,8,20,2018
,4,2,8/20/2018,1,,,,,,9,,,2,,8,20,2018
,5,2,8/20/2018,1,,,,2,1,14,1,,2,,8,20,2018
,6,2,8/20/2018,2,,,,2,2,17,1,,1,,8,20,2018
,7,2,8/20/2018,2,,,,,,12,1,,2,,8,20,2018
,8,2,8/20/2018,1,,,,,1,12,,,4,,8,20,2018
,9,2,8/20/2018,2,,,,,,7,,,3,,8,20,2018
,10,2,8/20/2018,,,,,,,16,,,2,,8,20,2018
,1,2,8/27/2018,3,,,,1,,7,1,,3,,8,27,2018
,2,2,8/27/2018,1,,,,,,11,,,2,,8,27,2018
,3,2,8/27/2018,3,,,,,,12,,,2,,8,27,2018
,4,2,8/27/2018,1,,,,1,,12,1,,1,,8,27,2018
,5,2,8/27/2018,3,1,,,,1,9,1,,,,8,27,2018
,6,2,8/27/2018,,,,,,,3,,,,,8,27,2018
,7,2,8/27/2018,1,,,,,,13,1,,5,,8,27,2018
,8,2,8/27/2018,3,,,,,,19,,,4,,8,27,2018
,9,2,8/27/2018,,,,,,,10,3,,1,,8,27,2018
,10,2,8/27/2018,4,,,,,1,15,,,3,,8,27,2018
,1,1,6/4/2018,1,,,,,,19,1,,7,,6,4,2018
,2,1,6/4/2018,1,,,,,2,16,3,,6,,6,4,2018
,3,1,6/4/2018,,1,,,,2,41,7,,6,,6,4,2018
,4,1,6/4/2018,,1,,,,4,36,5,,12,,6,4,2018
,5,1,6/4/2018,,,,,,1,19,3,,8,,6,4,2018
,6,1,6/4/2018,,1,,,,2,24,1,,6,,6,4,2018
,7,1,6/4/2018,1,,,,1,1,11,1,,5,,6,4,2018
,8,1,6/4/2018,,,,,,1,34,1,,5,,6,4,2018
,9,1,6/4/2018,1,,,,,2,26,,,14,,6,4,2018
,10,1,6/4/2018,,,,,,1,33,,,9,,6,4,2018
,1,1,6/11/2018,1,,,,,,19,,,9,,6,11,2018
,2,1,6/11/2018,,,,,,1,19,,,11,,6,11,2018
,3,1,6/11/2018,,,,,,,19,3,,10,,6,11,2018
,4,1,6/11/2018,,1,,,,1,29,1,,13,,6,11,2018
,5,1,6/11/2018,2,1,,,,,27,3,,5,,6,11,2018
,6,1,6/11/2018,3,,,,,,47,3,,14,,6,11,2018
,7,1,6/11/2018,1,,,,,1,29,3,,13,,6,11,2018
,8,1,6/11/2018,3,1,,,,,35,2,,14,,6,11,2018
,9,1,6/11/2018,,1,,,,1,17,,,3,,6,11,2018
,10,1,6/11/2018,,,,,,,24,2,,9,,6,11,2018
,1,1,6/18/2018,,,,,,1,20,,,14,,6,18,2018
,1,1,7/16/2018,6,,,,,3,17,3,,7,,7,16,2018
,2,1,7/16/2018,,,,,,1,6,4,,8,,7,16,2018
,3,1,7/16/2018,3,,,,,3,11,1,,13,,7,16,2018
,4,1,7/16/2018,4,1,,,,7,14,2,,14,,7,16,2018
,5,1,7/16/2018,3,1,,,,5,13,3,,23,,7,16,2018
,6,1,7/16/2018,3,1,,,,12,29,3,,21,,7,16,2018
,7,1,7/16/2018,,,,,,,14,2,,7,,7,16,2018
,8,1,7/16/2018,1,,,,,1,10,2,,4,,7,16,2018
,9,1,7/16/2018,1,2,,,,3,25,7,,22,,7,16,2018
,10,1,7/16/2018,,,,,,1,10,,,2,,7,16,2018
,1,1,7/9/2018,1,1,,,,7,32,2,,15,,7,9,2018
,2,1,7/9/2018,2,1,,,,8,32,10,,25,,7,9,2018
,3,1,7/9/2018,3,,,,,2,17,5,,10,,7,9,2018
,4,1,7/9/2018,2,,,,,,18,2,,10,,7,9,2018
,5,1,7/9/2018,,1,,,,2,16,4,,4,,7,9,2018
,6,1,7/9/2018,,,,,,,19,14,,31,,7,9,2018
,7,1,7/9/2018,,,,,,9,19,2,,15,,7,9,2018
,8,1,7/9/2018,2,,,,,4,22,2,,11,,7,9,2018
,9,1,7/9/2018,,,,,,2,20,4,,16,,7,9,2018
,10,1,7/9/2018,1,1,,,,2,20,3,,7,,7,9,2018
,1,1,7/2/2018,,,,,,1,39,4,,15,,7,2,2018
,2,1,7/2/2018,,1,,,,6,28,4,,12,,7,2,2018
,5,1,7/2/2018,,1,,,,1,27,4,,1,,7,2,2018
,6,1,7/2/2018,,,,,,2,26,1,,6,,7,2,2018
,1,1,7/23/2018,2,1,,,,4,13,,,22,,7,23,2018
,2,1,7/23/2018,2,,,,,1,10,,,6,,7,23,2018
,3,1,7/23/2018,1,1,,,,,14,,,8,,7,23,2018
,4,1,7/23/2018,4,2,,,,,11,,,2,,7,23,2018
,5,1,7/23/2018,1,,,,,,1,,,4,,7,23,2018
,6,1,7/23/2018,2,,,,,,4,,,7,,7,23,2018
,7,1,7/23/2018,,,,,,2,4,2,,8,,7,23,2018
,8,1,7/23/2018,3,,,,1,3,15,2,,12,,7,23,2018
,9,1,7/23/2018,2,2,,,,3,16,4,,6,,7,23,2018
,10,1,7/23/2018,1,1,,,,1,23,2,,3,,7,23,2018
,1,1,7/30/2018,3,,,,,1,10,1,,2,,7,30,2018
,2,1,7/30/2018,1,,,,,2,9,1,,5,,7,30,2018
,3,1,7/30/2018,1,,,,,7,21,3,,5,,7,30,2018
,4,1,7/30/2018,1,,,,,1,8,1,,3,,7,30,2018
,5,1,7/30/2018,2,,,,,2,10,2,,3,,7,30,2018
,6,1,7/30/2018,1,,,,,1,13,2,,3,,7,30,2018
,7,1,7/30/2018,1,,,,,,6,4,,1,,7,30,2018
,8,1,7/30/2018,,,,,,5,17,2,,2,,7,30,2018
,9,1,7/30/2018,1,,,,,2,18,,,1,,7,30,2018
,10,1,7/30/2018,1,,,,,,10,5,,5,,7,30,2018
,1,4,6/4/2018,3,,,,,,30,8,,12,,6,4,2018
,2,4,6/4/2018,3,,,,,4,20,6,,8,,6,4,2018
