side_or_trapnum,watershed,date,dipteran_large,terrestrial_large,caddisfly_large,mayfly_large,stonefly_large,other_large,dipteran_small,terrestrial_small,caddisfly_small,other_small
10,1,2018-08-20,NA,NA,NA,NA,NA,NA,9,2,NA,3
10,1,2018-08-27,NA,1,NA,NA,NA,1,7,NA,NA,3
10,1,2018-09-04,NA,NA,NA,NA,NA,NA,8,2,NA,3
10,1,2018-09-10,NA,NA,NA,NA,NA,NA,3,1,NA,NA
10,1,2018-09-17,NA,NA,NA,NA,NA,NA,5,2,NA,3
10,1,2018-09-24,NA,NA,NA,NA,NA,NA,5,NA,NA,2
10,1,2018-10-01,1,NA,NA,NA,NA,NA,13,NA,NA,1
10,1,2018-10-08,NA,NA,NA,NA,NA,NA,7,NA,NA,1
10,1,2018-10-15,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
10,1,2018-10-22,NA,1,NA,NA,NA,NA,15,2,NA,2
10,1,2018-10-29,1,NA,NA,NA,NA,NA,1,NA,NA,NA
10,1,2018-11-05,1,NA,NA,NA,NA,NA,14,3,NA,NA
10,1,2018-11-12,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
2,1,2018-06-04,1,NA,NA,NA,NA,2,16,3,NA,6
2,1,2018-06-11,NA,NA,NA,NA,NA,1,19,NA,NA,11
2,1,2018-07-02,NA,1,NA,NA,NA,6,28,4,NA,12
2,1,2018-07-09,2,1,NA,NA,NA,8,32,10,NA,25
2,1,2018-07-16,NA,NA,NA,NA,NA,1,6,4,NA,8
2,1,2018-07-23,2,NA,NA,NA,NA,1,10,NA,NA,6
2,1,2018-07-30,1,NA,NA,NA,NA,2,9,1,NA,5
2,1,2018-08-06,NA,NA,NA,NA,NA,1,13,1,NA,NA
2,1,2018-08-13,NA,NA,1,NA,1,8,9,2,NA,7
2,1,2018-08-20,NA,1,NA,NA,NA,4,14,1,NA,7
2,1,2018-08-27,NA,NA,NA,NA,NA,3,9,NA,NA,5
2,1,2018-09-04,1,NA,NA,NA,NA,NA,12,2,NA,4
2,1,2018-09-10,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
2,1,2018-09-17,NA,NA,NA,NA,NA,NA,8,NA,NA,2
2,1,2018-09-24,NA,NA,NA,NA,NA,NA,7,NA,NA,2
2,1,2018-10-01,NA,NA,NA,NA,NA,1,11,NA,NA,5
2,1,2018-10-08,NA,NA,NA,NA,NA,NA,22,2,NA,2
2,1,2018-10-15,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
2,1,2018-10-22,3,NA,NA,NA,NA,1,18,1,NA,2
2,1,2018-10-29,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
2,1,2018-11-05,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
2,1,2018-11-12,1,NA,NA,NA,NA,NA,12,1,NA,NA
3,1,2018-05-21,1,NA,NA,NA,NA,NA,62,NA,NA,7
3,1,2018-06-04,NA,1,NA,NA,NA,2,41,7,NA,6
3,1,2018-06-11,NA,NA,NA,NA,NA,NA,19,3,NA,10
3,1,2018-07-09,3,NA,NA,NA,NA,2,17,5,NA,10
3,1,2018-07-16,3,NA,NA,NA,NA,3,11,1,NA,13
3,1,2018-07-23,1,1,NA,NA,NA,NA,14,NA,NA,8
3,1,2018-07-30,1,NA,NA,NA,NA,7,21,3,NA,5
3,1,2018-08-06,NA,NA,NA,NA,NA,NA,3,NA,NA,1
3,1,2018-08-13,NA,NA,NA,NA,NA,NA,3,5,NA,2
3,1,2018-08-20,NA,1,NA,NA,NA,NA,11,NA,NA,2
3,1,2018-08-27,NA,NA,NA,NA,1,3,7,1,NA,NA
3,1,2018-09-04,NA,NA,NA,NA,NA,NA,10,4,NA,1
3,1,2018-09-10,NA,NA,NA,NA,NA,1,7,NA,NA,1
3,1,2018-09-17,NA,NA,NA,NA,NA,NA,4,1,NA,2
3,1,2018-09-24,1,NA,NA,NA,NA,NA,7,1,NA,4
3,1,2018-10-01,1,NA,NA,NA,NA,NA,15,NA,NA,1
3,1,2018-10-08,NA,NA,NA,NA,NA,NA,9,NA,NA,2
3,1,2018-10-15,NA,NA,NA,NA,NA,NA,13,1,NA,4
3,1,2018-10-22,1,NA,NA,NA,NA,NA,6,2,NA,1
3,1,2018-10-29,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
3,1,2018-11-05,1,NA,NA,NA,NA,NA,10,1,NA,NA
3,1,2018-11-12,21,NA,NA,NA,NA,NA,30,NA,NA,NA
4,1,2018-05-21,3,NA,NA,NA,NA,NA,37,1,NA,6
4,1,2018-06-04,NA,1,NA,NA,NA,4,36,5,NA,12
4,1,2018-06-11,NA,1,NA,NA,NA,1,29,1,NA,13
4,1,2018-07-09,2,NA,NA,NA,NA,NA,18,2,NA,10
4,1,2018-07-16,4,1,NA,NA,NA,7,14,2,NA,14
4,1,2018-07-23,4,2,NA,NA,NA,NA,11,NA,NA,2
4,1,2018-07-30,1,NA,NA,NA,NA,1,8,1,NA,3
4,1,2018-08-06,NA,NA,NA,NA,NA,1,10,1,NA,8
4,1,2018-08-13,NA,NA,NA,NA,NA,3,8,NA,NA,3
4,1,2018-08-20,NA,NA,NA,NA,NA,2,10,NA,NA,5
4,1,2018-08-27,NA,NA,NA,NA,NA,NA,1,1,NA,1
4,1,2018-09-04,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
4,1,2018-09-10,NA,NA,NA,NA,NA,NA,1,NA,NA,2
4,1,2018-09-17,NA,NA,NA,NA,NA,NA,3,1,NA,2
4,1,2018-09-24,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
4,1,2018-10-01,1,NA,NA,NA,NA,NA,10,1,NA,3
4,1,2018-10-08,NA,NA,NA,NA,NA,1,5,3,NA,2
4,1,2018-10-15,2,NA,NA,NA,NA,NA,11,2,NA,3
4,1,2018-10-22,NA,2,NA,NA,NA,NA,12,4,NA,NA
4,1,2018-10-29,1,NA,NA,NA,NA,NA,1,NA,NA,NA
4,1,2018-11-05,4,NA,NA,NA,NA,NA,17,NA,NA,NA
4,1,2018-11-12,1,NA,NA,NA,NA,NA,2,NA,NA,NA
5,1,2018-06-04,NA,NA,NA,NA,NA,1,19,3,NA,8
5,1,2018-06-11,2,1,NA,NA,NA,NA,27,3,NA,5
5,1,2018-07-02,NA,1,NA,NA,NA,1,27,4,NA,1
5,1,2018-07-09,NA,1,NA,NA,NA,2,16,4,NA,4
5,1,2018-07-16,3,1,NA,NA,NA,5,13,3,NA,23
5,1,2018-07-23,1,NA,NA,NA,NA,NA,1,NA,NA,4
5,1,2018-07-30,2,NA,NA,NA,NA,2,10,2,NA,3
5,1,2018-08-06,NA,NA,NA,NA,NA,NA,3,1,NA,2
5,1,2018-08-13,NA,1,NA,NA,NA,3,9,2,NA,3
5,1,2018-08-20,NA,NA,NA,NA,NA,1,13,1,NA,2
5,1,2018-08-27,NA,NA,NA,NA,NA,1,11,1,NA,NA
5,1,2018-09-04,NA,NA,NA,NA,NA,6,6,1,NA,2
5,1,2018-09-10,NA,NA,NA,NA,1,NA,5,NA,NA,NA
5,1,2018-09-17,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
5,1,2018-09-24,NA,NA,NA,NA,NA,NA,6,NA,NA,3
5,1,2018-10-01,NA,1,NA,NA,NA,NA,10,2,NA,5
5,1,2018-10-08,NA,NA,NA,NA,NA,NA,5,2,NA,NA
5,1,2018-10-15,1,NA,NA,NA,NA,NA,19,NA,NA,2
5,1,2018-10-22,NA,NA,NA,NA,NA,NA,6,1,NA,1
5,1,2018-10-29,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
5,1,2018-11-05,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
5,1,2018-11-12,2,NA,NA,NA,NA,NA,17,2,NA,NA
6,1,2018-06-04,NA,1,NA,NA,NA,2,24,1,NA,6
6,1,2018-06-11,3,NA,NA,NA,NA,NA,47,3,NA,14
6,1,2018-07-02,NA,NA,NA,NA,NA,2,26,1,NA,6
6,1,2018-07-09,NA,NA,NA,NA,NA,NA,19,14,NA,31
6,1,2018-07-16,3,1,NA,NA,NA,12,29,3,NA,21
6,1,2018-07-23,2,NA,NA,NA,NA,NA,4,NA,NA,7
6,1,2018-07-30,1,NA,NA,NA,NA,1,13,2,NA,3
6,1,2018-08-06,1,NA,NA,NA,NA,2,14,NA,NA,1
6,1,2018-08-13,NA,NA,NA,NA,NA,2,7,4,NA,2
6,1,2018-08-20,NA,NA,NA,NA,NA,2,10,NA,NA,4
6,1,2018-08-27,1,1,NA,NA,2,3,11,2,NA,1
6,1,2018-09-04,NA,1,NA,NA,NA,NA,12,2,NA,2
6,1,2018-09-10,NA,NA,NA,NA,NA,1,6,NA,NA,NA
6,1,2018-09-17,NA,NA,NA,NA,NA,NA,6,NA,NA,5
6,1,2018-09-24,NA,NA,NA,NA,NA,NA,10,NA,NA,2
6,1,2018-10-01,1,NA,NA,NA,NA,NA,5,4,NA,3
6,1,2018-10-08,NA,NA,NA,NA,NA,NA,6,NA,NA,7
6,1,2018-10-15,NA,NA,NA,NA,NA,NA,8,NA,NA,3
6,1,2018-10-22,1,NA,NA,NA,NA,NA,11,NA,NA,2
6,1,2018-10-29,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
6,1,2018-11-05,NA,1,NA,NA,NA,NA,9,1,NA,1
6,1,2018-11-12,2,NA,NA,NA,NA,NA,12,NA,NA,NA
7,1,2018-06-04,1,NA,NA,NA,1,1,11,1,NA,5
7,1,2018-06-11,1,NA,NA,NA,NA,1,29,3,NA,13
7,1,2018-07-09,NA,NA,NA,NA,NA,9,19,2,NA,15
7,1,2018-07-16,NA,NA,NA,NA,NA,NA,14,2,NA,7
7,1,2018-07-23,NA,NA,NA,NA,NA,2,4,2,NA,8
7,1,2018-07-30,1,NA,NA,NA,NA,NA,6,4,NA,1
7,1,2018-08-06,NA,NA,NA,NA,NA,NA,5,4,NA,4
7,1,2018-08-13,1,NA,NA,NA,NA,2,5,NA,NA,NA
7,1,2018-08-20,1,NA,NA,NA,NA,2,16,1,NA,7
7,1,2018-08-27,1,NA,NA,NA,NA,4,13,NA,NA,1
7,1,2018-09-04,NA,NA,NA,NA,NA,1,13,1,NA,7
7,1,2018-09-10,NA,NA,NA,NA,NA,NA,4,1,NA,2
7,1,2018-09-17,NA,NA,NA,NA,NA,NA,8,3,NA,4
7,1,2018-09-24,NA,NA,NA,NA,NA,NA,9,NA,NA,2
7,1,2018-10-01,1,NA,NA,NA,NA,NA,5,2,NA,2
7,1,2018-10-08,NA,NA,NA,NA,NA,1,10,4,NA,3
7,1,2018-10-15,NA,NA,NA,NA,NA,NA,6,2,NA,3
7,1,2018-10-22,4,NA,NA,NA,NA,NA,12,2,NA,NA
7,1,2018-10-29,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
7,1,2018-11-05,2,NA,NA,NA,NA,NA,12,1,NA,1
7,1,2018-11-12,6,NA,NA,NA,NA,NA,8,2,NA,NA
8,1,2018-06-04,NA,NA,NA,NA,NA,1,34,1,NA,5
8,1,2018-06-11,3,1,NA,NA,NA,NA,35,2,NA,14
8,1,2018-07-09,2,NA,NA,NA,NA,4,22,2,NA,11
8,1,2018-07-16,1,NA,NA,NA,NA,1,10,2,NA,4
8,1,2018-07-23,3,NA,NA,NA,1,3,15,2,NA,12
8,1,2018-07-30,NA,NA,NA,NA,NA,5,17,2,NA,2
8,1,2018-08-06,NA,NA,NA,NA,NA,NA,12,5,NA,5
8,1,2018-08-13,NA,NA,NA,NA,NA,5,7,2,NA,4
8,1,2018-08-20,NA,NA,NA,NA,1,1,11,NA,NA,2
8,1,2018-08-27,NA,1,NA,NA,NA,NA,13,NA,NA,1
8,1,2018-09-04,NA,NA,NA,NA,NA,NA,3,2,NA,4
8,1,2018-09-10,NA,NA,NA,NA,1,1,14,NA,NA,NA
8,1,2018-09-17,NA,NA,NA,NA,NA,NA,4,NA,NA,2
8,1,2018-09-24,NA,NA,NA,NA,NA,NA,8,1,NA,2
8,1,2018-10-01,1,NA,NA,NA,NA,NA,12,NA,NA,3
8,1,2018-10-08,NA,NA,NA,NA,NA,NA,23,NA,NA,1
8,1,2018-10-15,NA,NA,NA,NA,NA,NA,14,NA,NA,NA
8,1,2018-10-22,NA,NA,NA,NA,NA,NA,14,1,NA,1
8,1,2018-10-29,NA,NA,NA,NA,NA,NA,2,NA,NA,1
8,1,2018-11-05,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
8,1,2018-11-12,37,NA,NA,NA,NA,NA,16,NA,NA,NA
9,1,2018-05-21,5,NA,NA,NA,NA,NA,31,NA,NA,5
9,1,2018-06-04,1,NA,NA,NA,NA,2,26,NA,NA,14
9,1,2018-06-11,NA,1,NA,NA,NA,1,17,NA,NA,3
9,1,2018-07-09,NA,NA,NA,NA,NA,2,20,4,NA,16
9,1,2018-07-16,1,2,NA,NA,NA,3,25,7,NA,22
9,1,2018-07-23,2,2,NA,NA,NA,3,16,4,NA,6
9,1,2018-07-30,1,NA,NA,NA,NA,2,18,NA,NA,1
9,1,2018-08-06,NA,NA,NA,NA,4,8,6,3,NA,6
9,1,2018-08-13,NA,NA,NA,NA,NA,1,9,NA,NA,5
9,1,2018-08-20,NA,NA,NA,NA,NA,2,2,3,NA,1
9,1,2018-08-27,NA,NA,NA,NA,NA,1,8,NA,NA,1
9,1,2018-09-04,NA,NA,NA,NA,NA,NA,6,1,NA,1
9,1,2018-09-10,NA,NA,NA,NA,NA,2,5,1,NA,NA
9,1,2018-09-17,NA,NA,NA,NA,NA,NA,4,2,NA,2
9,1,2018-09-24,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
9,1,2018-10-01,NA,NA,NA,NA,NA,NA,14,1,NA,2
9,1,2018-10-08,3,NA,NA,NA,NA,NA,5,NA,NA,2
9,1,2018-10-15,NA,NA,NA,NA,NA,NA,11,2,NA,NA
9,1,2018-10-22,1,NA,NA,NA,NA,NA,14,3,NA,NA
9,1,2018-10-29,2,NA,NA,NA,NA,NA,4,1,NA,NA
9,1,2018-11-05,1,NA,NA,NA,NA,1,27,NA,NA,NA
9,1,2018-11-12,1,NA,NA,NA,NA,NA,5,NA,NA,2
A,1,2020-08-17,NA,NA,NA,NA,NA,11,7,NA,NA,2
A,1,2020-08-17,NA,NA,NA,NA,NA,4,1,NA,NA,1
A,1,2020-08-17,NA,1,NA,NA,NA,9,9,2,NA,5
A,1,2020-08-17,1,NA,NA,NA,1,10,7,4,NA,11
A,1,2020-08-17,2,1,NA,NA,NA,21,9,1,NA,3
A,1,2020-08-24,NA,1,NA,NA,NA,3,10,NA,NA,4
A,1,2020-08-24,NA,1,1,NA,NA,10,6,2,NA,6
A,1,2020-08-24,NA,NA,NA,NA,NA,6,5,NA,NA,3
A,1,2020-08-24,1,2,NA,NA,NA,10,6,NA,NA,8
A,1,2020-08-24,NA,NA,NA,NA,NA,8,11,NA,NA,11
A,1,2020-08-31,1,1,NA,NA,NA,NA,7,3,NA,3
A,1,2020-08-31,1,1,NA,NA,NA,NA,16,NA,NA,14
A,1,2020-08-31,2,NA,NA,NA,NA,1,4,1,NA,7
A,1,2020-08-31,NA,1,NA,NA,NA,1,6,3,NA,8
A,1,2020-08-31,2,2,NA,NA,NA,1,7,NA,NA,7
A,1,2020-09-08,NA,NA,NA,NA,NA,1,3,1,NA,5
A,1,2020-09-08,NA,NA,NA,NA,NA,1,4,2,NA,9
A,1,2020-09-08,1,NA,NA,NA,NA,1,2,1,NA,10
A,1,2020-09-08,2,1,NA,NA,NA,NA,8,NA,NA,13
A,1,2020-09-08,NA,NA,NA,NA,NA,1,1,NA,NA,16
A,1,2020-09-14,NA,NA,NA,NA,NA,NA,3,NA,NA,6
A,1,2020-09-14,NA,NA,NA,NA,NA,1,2,1,NA,6
A,1,2020-09-14,NA,NA,NA,NA,NA,NA,4,1,NA,5
A,1,2020-09-14,NA,NA,NA,NA,NA,NA,2,NA,NA,9
A,1,2020-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
A,1,2020-09-21,NA,1,NA,NA,NA,NA,1,NA,NA,3
A,1,2020-09-21,NA,NA,NA,NA,NA,NA,5,2,NA,8
A,1,2020-09-21,NA,NA,NA,NA,NA,NA,2,1,NA,NA
A,1,2020-09-21,NA,NA,NA,NA,NA,NA,2,1,NA,NA
A,1,2020-09-21,2,NA,NA,NA,NA,2,2,1,NA,3
A,1,2020-09-28,NA,NA,NA,NA,NA,NA,8,1,NA,10
A,1,2020-09-28,1,NA,NA,NA,NA,1,2,NA,NA,13
A,1,2020-09-28,NA,NA,NA,NA,NA,1,7,2,NA,9
A,1,2020-09-28,NA,NA,NA,NA,NA,NA,1,1,NA,9
A,1,2020-09-28,1,NA,NA,NA,NA,NA,NA,1,NA,5
A,1,2020-10-05,2,1,NA,NA,NA,1,8,4,NA,4
A,1,2020-10-05,NA,NA,NA,NA,NA,NA,4,1,NA,1
A,1,2020-10-05,2,NA,NA,NA,NA,NA,5,3,NA,3
A,1,2020-10-05,1,NA,NA,NA,NA,NA,2,4,NA,4
A,1,2020-10-05,1,NA,NA,NA,NA,NA,8,1,NA,2
A,1,2020-10-12,NA,1,NA,NA,NA,NA,5,4,NA,NA
A,1,2020-10-12,2,NA,NA,NA,NA,NA,3,10,NA,3
A,1,2020-10-12,2,NA,NA,NA,NA,NA,8,6,NA,7
A,1,2020-10-12,1,NA,NA,NA,NA,1,3,2,NA,NA
A,1,2020-10-12,1,NA,NA,NA,NA,2,2,4,NA,2
A,1,2020-10-19,NA,NA,NA,NA,NA,NA,2,3,NA,3
A,1,2020-10-19,3,NA,NA,NA,NA,NA,4,5,NA,6
A,1,2020-10-19,1,NA,NA,NA,NA,NA,3,7,NA,1
A,1,2020-10-19,2,NA,NA,NA,NA,1,1,3,NA,3
A,1,2020-10-19,NA,NA,NA,NA,NA,NA,4,2,NA,1
A,1,2020-10-26,5,1,NA,NA,NA,NA,40,20,NA,10
A,1,2020-10-26,2,NA,NA,NA,NA,NA,4,5,1,7
A,1,2020-10-26,1,NA,NA,NA,NA,NA,5,3,NA,NA
A,1,2020-10-26,1,1,1,NA,NA,NA,13,10,NA,7
A,1,2020-10-26,2,2,NA,NA,NA,NA,4,3,NA,4
A,1,2020-11-02,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
A,1,2020-11-02,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
A,1,2020-11-02,4,NA,NA,NA,NA,NA,5,NA,NA,NA
A,1,2020-11-02,3,NA,NA,NA,NA,NA,5,NA,NA,2
A,1,2020-11-02,1,NA,NA,NA,NA,NA,5,NA,NA,NA
A,1,2020-11-09,NA,1,NA,NA,NA,NA,15,10,NA,2
A,1,2020-11-16,NA,NA,NA,NA,NA,NA,1,4,NA,4
A,1,2020-11-22,NA,NA,NA,NA,NA,NA,1,1,NA,NA
A,1,2020-11-30,3,NA,NA,NA,NA,NA,4,NA,NA,NA
A,1,2020-12-07,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
A,1,2020-12-14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,2021-04-05,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
A,1,2021-04-12,2,1,NA,NA,NA,1,2,NA,NA,17
A,1,2021-06-15,NA,NA,NA,NA,NA,2,11,4,NA,16
A,1,2021-06-15,NA,NA,5,NA,NA,4,30,2,NA,9
A,1,2021-06-15,NA,NA,NA,NA,NA,1,4,NA,NA,8
A,1,2021-06-15,3,1,6,NA,NA,2,23,1,NA,16
A,1,2021-06-21,NA,NA,2,NA,2,3,23,2,NA,10
A,1,2021-06-21,1,NA,5,NA,NA,2,23,5,2,5
A,1,2021-06-21,NA,1,NA,NA,NA,3,35,NA,1,3
A,1,2021-06-21,2,NA,NA,NA,2,NA,21,4,NA,15
A,1,2021-06-21,1,1,1,NA,NA,1,12,1,NA,9
B,1,2020-08-17,NA,NA,NA,NA,NA,4,2,3,NA,NA
B,1,2020-08-17,1,3,NA,NA,NA,6,11,3,NA,6
B,1,2020-08-17,1,NA,NA,NA,NA,1,3,NA,NA,5
B,1,2020-08-17,NA,1,NA,NA,NA,5,8,2,NA,5
B,1,2020-08-17,NA,NA,NA,NA,NA,2,3,4,NA,3
B,1,2020-08-24,2,2,NA,NA,NA,NA,7,2,NA,6
B,1,2020-08-24,NA,NA,NA,NA,NA,3,5,2,NA,5
B,1,2020-08-24,1,1,NA,NA,NA,1,4,3,NA,4
B,1,2020-08-24,NA,NA,1,NA,NA,1,8,1,NA,2
B,1,2020-08-24,NA,NA,NA,NA,NA,NA,9,4,NA,5
B,1,2020-08-31,NA,2,NA,NA,NA,2,1,NA,NA,6
B,1,2020-08-31,NA,1,NA,NA,NA,3,7,NA,NA,10
B,1,2020-08-31,1,NA,NA,NA,NA,1,6,1,NA,4
B,1,2020-08-31,2,NA,NA,NA,NA,2,10,NA,NA,6
B,1,2020-08-31,NA,NA,NA,NA,NA,2,11,2,NA,9
B,1,2020-09-08,NA,3,NA,NA,NA,NA,6,1,NA,12
B,1,2020-09-08,2,NA,NA,NA,NA,2,7,1,NA,13
B,1,2020-09-08,NA,1,NA,NA,NA,2,11,NA,NA,16
B,1,2020-09-08,NA,1,NA,NA,NA,NA,6,3,NA,7
B,1,2020-09-08,NA,NA,NA,NA,NA,NA,1,2,NA,8
B,1,2020-09-14,NA,NA,NA,NA,NA,NA,1,NA,NA,9
B,1,2020-09-14,NA,NA,NA,NA,NA,NA,1,2,NA,3
B,1,2020-09-14,NA,NA,NA,NA,NA,2,5,1,NA,3
B,1,2020-09-14,NA,1,NA,NA,NA,NA,2,NA,NA,2
B,1,2020-09-14,NA,NA,1,NA,NA,NA,6,NA,NA,4
B,1,2020-09-21,1,NA,NA,NA,NA,NA,5,1,NA,1
B,1,2020-09-21,NA,1,NA,NA,NA,NA,6,2,NA,2
B,1,2020-09-21,NA,NA,NA,NA,NA,1,1,NA,NA,4
B,1,2020-09-21,NA,NA,NA,NA,NA,NA,8,NA,NA,3
B,1,2020-09-21,NA,NA,NA,NA,NA,NA,4,1,NA,4
B,1,2020-09-28,1,1,NA,NA,NA,2,6,NA,NA,10
B,1,2020-09-28,NA,NA,NA,NA,NA,NA,4,2,NA,10
B,1,2020-09-28,NA,NA,NA,NA,NA,NA,1,1,NA,9
B,1,2020-09-28,1,3,NA,NA,NA,1,2,1,NA,4
B,1,2020-09-28,NA,NA,NA,NA,NA,NA,1,1,NA,6
B,1,2020-10-05,2,NA,NA,NA,NA,2,7,1,NA,5
B,1,2020-10-05,1,NA,NA,NA,NA,1,10,2,NA,7
B,1,2020-10-05,NA,NA,NA,NA,NA,NA,5,3,NA,3
B,1,2020-10-05,2,NA,NA,NA,NA,NA,11,2,NA,6
B,1,2020-10-05,NA,NA,NA,NA,NA,1,5,5,NA,4
B,1,2020-10-12,1,1,NA,NA,NA,NA,4,4,NA,1
B,1,2020-10-12,4,NA,NA,NA,NA,1,5,2,NA,4
B,1,2020-10-12,1,1,NA,NA,NA,NA,4,2,NA,4
B,1,2020-10-12,NA,1,NA,NA,NA,NA,6,5,NA,1
B,1,2020-10-12,NA,NA,NA,NA,NA,NA,3,2,NA,NA
B,1,2020-10-19,4,NA,NA,NA,NA,NA,3,12,NA,1
B,1,2020-10-19,NA,NA,NA,NA,NA,NA,8,15,NA,6
B,1,2020-10-19,NA,NA,NA,NA,NA,NA,6,2,NA,5
B,1,2020-10-19,3,NA,NA,NA,NA,NA,3,4,NA,4
B,1,2020-10-19,NA,NA,NA,NA,NA,1,4,10,NA,4
B,1,2020-10-26,10,NA,NA,NA,NA,NA,12,13,NA,8
B,1,2020-10-26,1,NA,NA,NA,NA,NA,4,11,NA,5
B,1,2020-10-26,2,NA,NA,NA,NA,NA,1,17,NA,3
B,1,2020-10-26,3,NA,NA,NA,NA,NA,4,3,NA,3
B,1,2020-10-26,5,NA,NA,NA,NA,NA,5,9,NA,1
B,1,2020-11-02,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
B,1,2020-11-02,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
B,1,2020-11-02,3,1,NA,NA,NA,NA,7,NA,NA,NA
B,1,2020-11-02,1,NA,NA,NA,NA,NA,7,NA,NA,1
B,1,2020-11-02,2,NA,NA,NA,NA,NA,5,NA,NA,1
B,1,2020-11-09,NA,1,NA,NA,NA,NA,5,NA,NA,4
B,1,2020-11-16,1,NA,NA,NA,NA,NA,1,1,NA,3
B,1,2020-11-22,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
B,1,2020-11-30,2,2,NA,NA,NA,NA,2,NA,NA,NA
B,1,2021-03-29,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
B,1,2021-04-05,NA,NA,NA,NA,NA,NA,1,1,NA,NA
B,1,2021-04-12,4,1,NA,NA,NA,2,3,1,NA,24
B,1,2021-06-15,NA,2,NA,NA,NA,9,15,5,NA,2
B,1,2021-06-15,NA,1,5,NA,NA,2,31,2,NA,5
B,1,2021-06-15,NA,1,4,NA,1,NA,21,2,NA,7
B,1,2021-06-15,1,1,2,NA,1,NA,26,NA,NA,7
B,1,2021-06-21,3,2,1,NA,NA,2,22,1,1,13
B,1,2021-06-21,NA,NA,1,NA,NA,2,19,3,NA,7
