sample_id,side_or_trapnum,watershed,date,dipteran_large,terrestrial_large,caddisfly_large,mayfly_large,stonefly_large,other_large,dipteran_small,terrestrial_small,caddisfly_small,other_small,dup
ST190681,A,1,2019-07-29,NA,NA,NA,NA,NA,NA,6,2,NA,NA,0
ST190681,B,1,2019-07-29,1,NA,NA,NA,1,1,12,3,1,NA,0
ST190682,A,1,2019-07-29,3,1,NA,NA,NA,NA,8,1,1,2,0
ST190682,B,1,2019-07-29,2,NA,NA,NA,NA,1,10,3,NA,2,0
ST190683,A,1,2019-07-29,2,2,1,NA,NA,1,8,1,NA,NA,0
ST190683,B,1,2019-07-29,3,1,NA,NA,NA,NA,19,1,NA,NA,0
ST190684,A,1,2019-07-29,3,NA,NA,NA,NA,1,10,NA,NA,NA,0
ST190684,B,1,2019-07-29,1,NA,NA,NA,NA,1,11,5,NA,1,0
ST190685,A,1,2019-07-29,3,NA,NA,NA,2,NA,10,2,NA,3,0
ST190685,B,1,2019-07-29,5,7,NA,NA,1,NA,13,5,NA,1,0
ST190721,A,1,2019-08-05,NA,1,NA,NA,NA,NA,11,2,NA,1,0
ST190721,B,1,2019-08-05,NA,5,NA,NA,NA,1,14,NA,NA,NA,0
ST190722,A,1,2019-08-05,NA,NA,NA,NA,NA,1,7,1,NA,NA,0
ST190722,B,1,2019-08-05,NA,4,1,NA,NA,1,7,3,NA,2,0
ST190723,A,1,2019-08-05,NA,3,NA,NA,NA,NA,9,2,NA,1,0
ST190723,B,1,2019-08-05,NA,2,NA,NA,1,2,7,1,NA,1,0
ST190724,A,1,2019-08-05,NA,2,NA,NA,NA,NA,9,2,NA,NA,0
ST190724,B,1,2019-08-05,1,1,NA,NA,NA,2,9,3,NA,3,0
ST190725,A,1,2019-08-05,NA,NA,NA,NA,1,1,8,2,NA,NA,0
ST190725,B,1,2019-08-05,2,16,NA,NA,4,NA,4,3,NA,NA,0
ST190761,A,1,2019-08-12,NA,1,NA,NA,1,NA,14,1,NA,2,0
ST190761,B,1,2019-08-12,NA,17,NA,NA,1,1,5,5,NA,2,0
ST190762,A,1,2019-08-12,NA,3,NA,NA,NA,1,8,3,NA,NA,0
ST190762,B,1,2019-08-12,1,5,NA,NA,NA,NA,15,4,NA,1,0
ST190763,A,1,2019-08-12,NA,2,1,NA,NA,1,5,NA,NA,NA,0
ST190763,B,1,2019-08-12,NA,4,NA,NA,1,NA,8,4,NA,1,0
ST190764,A,1,2019-08-12,NA,8,1,NA,NA,2,5,NA,NA,2,0
ST190764,B,1,2019-08-12,NA,2,NA,NA,NA,2,9,NA,NA,1,0
ST190765,A,1,2019-08-12,NA,3,NA,NA,NA,2,14,2,NA,2,0
ST190765,B,1,2019-08-12,2,2,NA,NA,NA,1,10,3,NA,1,0
ST190801,A,1,2019-08-19,1,3,NA,NA,NA,NA,11,4,NA,NA,0
ST190801,B,1,2019-08-19,NA,2,NA,NA,NA,1,10,NA,NA,NA,0
ST190802,A,1,2019-08-19,NA,3,NA,NA,1,NA,8,1,NA,NA,0
ST190802,B,1,2019-08-19,1,4,NA,NA,NA,NA,6,NA,NA,NA,0
ST190803,A,1,2019-08-19,1,9,1,NA,NA,NA,9,NA,NA,NA,0
ST190803,B,1,2019-08-19,NA,NA,NA,NA,1,1,6,2,NA,NA,0
ST190804,A,1,2019-08-19,NA,5,NA,NA,1,NA,6,2,NA,2,0
ST190804,B,1,2019-08-19,1,14,NA,NA,NA,NA,3,2,NA,NA,0
ST190805,A,1,2019-08-19,NA,3,NA,NA,NA,NA,10,3,NA,NA,0
ST190805,B,1,2019-08-19,1,4,NA,NA,NA,1,12,4,NA,NA,0
ST190841,A,1,2019-08-26,NA,2,NA,NA,NA,1,4,1,1,2,0
ST190841,B,1,2019-08-26,NA,2,NA,NA,NA,NA,2,2,NA,NA,0
ST190842,A,1,2019-08-26,NA,4,NA,NA,NA,NA,5,1,NA,1,0
ST190842,B,1,2019-08-26,NA,3,NA,NA,NA,NA,7,6,NA,NA,0
ST190843,A,1,2019-08-26,NA,5,2,NA,1,NA,7,2,NA,NA,0
ST190843,B,1,2019-08-26,NA,1,1,NA,1,NA,5,1,NA,NA,0
ST190844,A,1,2019-08-26,NA,2,NA,NA,NA,NA,5,2,NA,1,0
ST190844,B,1,2019-08-26,1,4,NA,NA,NA,1,4,NA,NA,NA,0
ST190845,A,1,2019-08-26,NA,7,2,NA,2,2,7,3,NA,NA,0
ST190845,B,1,2019-08-26,NA,4,NA,NA,4,1,11,3,NA,NA,0
ST190881,A,1,2019-09-03,1,2,NA,NA,NA,NA,10,1,NA,NA,0
ST190881,B,1,2019-09-03,NA,4,NA,NA,NA,NA,8,3,NA,NA,0
ST190882,A,1,2019-09-03,NA,2,NA,NA,NA,NA,8,2,NA,NA,0
ST190882,B,1,2019-09-03,2,4,NA,NA,NA,1,4,2,NA,1,0
ST190883,A,1,2019-09-03,NA,3,NA,NA,1,1,16,1,NA,NA,0
ST190883,B,1,2019-09-03,NA,4,NA,NA,NA,1,6,1,NA,NA,0
ST190884,A,1,2019-09-03,NA,4,NA,NA,NA,1,5,5,NA,NA,0
ST190884,B,1,2019-09-03,NA,1,NA,NA,NA,1,7,3,NA,1,0
ST190885,A,1,2019-09-03,NA,NA,NA,NA,NA,1,10,4,NA,NA,0
ST190885,B,1,2019-09-03,NA,NA,NA,NA,NA,1,9,4,NA,NA,0
ST190921,A,1,2019-09-09,NA,1,NA,NA,NA,NA,5,1,NA,NA,0
ST190921,B,1,2019-09-09,NA,NA,NA,NA,NA,1,8,NA,NA,NA,0
ST190922,A,1,2019-09-09,NA,1,NA,NA,NA,NA,3,1,NA,NA,0
ST190922,B,1,2019-09-09,NA,NA,NA,NA,NA,NA,4,1,NA,NA,0
ST190923,A,1,2019-09-09,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,0
ST190923,B,1,2019-09-09,1,1,NA,NA,NA,NA,6,3,NA,NA,0
ST190924,A,1,2019-09-09,NA,NA,NA,NA,NA,NA,17,1,1,NA,0
ST190924,B,1,2019-09-09,NA,1,NA,NA,NA,1,4,3,NA,NA,0
ST190925,A,1,2019-09-09,NA,1,1,NA,NA,NA,6,NA,NA,NA,0
ST190925,B,1,2019-09-09,NA,NA,1,NA,NA,NA,12,1,NA,NA,0
ST190961,A,1,2019-09-16,NA,NA,NA,NA,NA,1,6,1,NA,1,0
ST190961,B,1,2019-09-16,2,1,NA,NA,NA,NA,2,1,NA,NA,0
ST190962,A,1,2019-09-16,1,NA,NA,NA,1,NA,7,2,NA,NA,0
ST190962,B,1,2019-09-16,2,1,NA,NA,NA,NA,9,NA,NA,NA,0
ST190963,A,1,2019-09-16,1,1,NA,NA,NA,NA,4,1,NA,NA,0
ST190963,B,1,2019-09-16,NA,NA,NA,NA,NA,1,5,4,NA,NA,0
ST190964,A,1,2019-09-16,NA,1,NA,NA,1,1,8,7,NA,2,0
ST190964,B,1,2019-09-16,NA,NA,1,NA,NA,2,6,3,NA,NA,0
ST190965,A,1,2019-09-16,NA,NA,NA,NA,NA,1,11,1,NA,NA,0
ST190965,B,1,2019-09-16,1,NA,1,NA,NA,NA,6,2,NA,NA,0
ST191001,A,1,2019-09-23,1,1,NA,NA,NA,2,6,NA,NA,1,0
ST191001,B,1,2019-09-23,3,NA,NA,NA,NA,NA,5,NA,NA,1,0
ST191002,A,1,2019-09-23,1,2,NA,NA,NA,NA,4,NA,NA,NA,0
ST191002,B,1,2019-09-23,NA,2,NA,NA,NA,NA,9,1,NA,NA,0
ST191003,A,1,2019-09-23,NA,NA,NA,NA,NA,NA,7,1,NA,2,0
ST191003,B,1,2019-09-23,NA,1,NA,NA,NA,1,7,1,NA,NA,0
ST191004,A,1,2019-09-23,4,NA,1,NA,NA,1,4,5,NA,NA,0
ST191004,B,1,2019-09-23,NA,NA,NA,NA,NA,1,8,2,NA,1,0
ST191005,A,1,2019-09-23,NA,2,NA,NA,NA,NA,7,1,NA,NA,0
ST191015,B,1,2019-09-23,NA,1,NA,NA,NA,NA,7,1,NA,NA,0
ST191041,A,1,2019-09-30,NA,NA,NA,NA,NA,NA,7,1,NA,NA,0
ST191041,B,1,2019-09-30,1,NA,NA,NA,NA,NA,6,1,NA,NA,0
ST191042,A,1,2019-09-30,1,NA,NA,NA,NA,NA,3,NA,NA,NA,0
ST191042,B,1,2019-09-30,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,0
ST191043,A,1,2019-09-30,2,NA,NA,NA,NA,NA,7,NA,NA,NA,0
ST191043,B,1,2019-09-30,NA,NA,NA,NA,NA,NA,7,1,NA,NA,0
ST191044,A,1,2019-09-30,NA,NA,NA,NA,NA,NA,4,1,NA,NA,0
ST191044,B,1,2019-09-30,NA,1,NA,NA,NA,NA,3,2,NA,NA,0
ST191045,A,1,2019-09-30,NA,NA,NA,NA,NA,1,3,2,NA,3,0
ST191045,B,1,2019-09-30,1,1,NA,NA,NA,1,12,2,NA,NA,0
ST191081,A,1,2019-10-07,1,1,NA,NA,NA,1,13,3,NA,NA,0
ST191081,B,1,2019-10-07,NA,NA,NA,NA,NA,NA,1,1,NA,2,0
ST191082,A,1,2019-10-07,4,2,NA,NA,NA,NA,6,NA,NA,NA,0
ST191082,B,1,2019-10-07,2,1,NA,NA,NA,NA,13,1,NA,1,0
ST191083,A,1,2019-10-07,3,NA,NA,NA,NA,NA,3,2,NA,1,0
ST191083,B,1,2019-10-07,1,2,NA,NA,NA,1,4,NA,NA,NA,0
ST191084,A,1,2019-10-07,5,3,NA,NA,NA,NA,12,2,NA,NA,0
ST191084,B,1,2019-10-07,1,1,NA,NA,NA,NA,8,NA,NA,NA,0
ST191085,A,1,2019-10-07,1,NA,NA,NA,NA,NA,9,3,NA,NA,0
ST191085,B,1,2019-10-07,2,NA,NA,NA,1,NA,11,2,NA,NA,0
ST191121,A,1,2019-10-15,1,NA,NA,NA,NA,1,11,3,NA,NA,0
ST191121,B,1,2019-10-15,1,NA,NA,NA,NA,NA,6,4,NA,NA,0
ST191122,A,1,2019-10-15,2,NA,NA,NA,NA,1,14,3,NA,NA,0
ST191122,B,1,2019-10-15,NA,1,NA,NA,NA,4,17,3,NA,NA,0
ST191123,A,1,2019-10-15,2,3,NA,NA,NA,NA,9,2,NA,NA,0
ST191123,B,1,2019-10-15,NA,NA,NA,NA,NA,1,13,6,NA,3,0
ST191124,A,1,2019-10-15,NA,NA,NA,NA,NA,NA,9,8,NA,NA,0
ST191124,B,1,2019-10-15,4,1,NA,NA,NA,NA,10,7,NA,1,0
ST191125,A,1,2019-10-15,1,2,NA,NA,NA,NA,12,4,NA,NA,0
ST191125,B,1,2019-10-15,NA,2,NA,NA,NA,3,6,1,NA,NA,0
ST191161,A,1,2019-10-21,24,NA,NA,NA,NA,NA,25,5,NA,NA,0
ST191161,B,1,2019-10-21,5,1,NA,NA,NA,NA,7,NA,NA,NA,0
ST191162,A,1,2019-10-21,4,1,NA,NA,NA,NA,7,NA,NA,NA,0
ST191162,B,1,2019-10-21,3,NA,NA,NA,NA,NA,7,2,NA,NA,0
ST191163,A,1,2019-10-21,5,NA,NA,NA,NA,NA,8,1,NA,NA,0
ST191163,B,1,2019-10-21,17,NA,NA,NA,NA,NA,30,1,NA,NA,0
